timestamp,tagID,pos_x,pos_y,pos_z,quality,n_dist,anchorID_1,dist_1,anchorID_2,dist_2,anchorID_3,dist_3,anchorID_4,dist_4,anchorID_5,dist_5,accelerometro,ax,ay,az,giroscopio,gx,gy,gz,magnetometro,mx,my,mz
21:31.8,bleT2,-,-,-,0,4,bleA5,-62,bleA6,-73,bleA2,-56,bleA3,-80,A,98.759,-996.13,137.189,G,-34090,35070,-70,M,-726,48,-166.5,,
21:31.9,bleT2,-,-,-,0,4,bleA2,-53,bleA4,-78,bleA3,-60,bleA6,-71,A,59.17,-967.277,163.236,G,-12040,17080,4830,M,-727.5,49.5,-160.5,,
21:32.0,bleT2,-,-,-,0,4,bleA4,-69,bleA5,-61,bleA6,-72,bleA2,-59,A,41.358,-1107.333,44.652,G,-15750,29750,2380,M,-715.5,42,-151.5,,
21:32.1,bleT2,-,-,-,0,4,bleA6,-68,bleA2,-59,bleA4,-72,bleA3,-67,A,52.094,-1113.372,388.509,G,16660,28490,15610,M,-715.5,40.5,-151.5,,
21:32.2,bleT2,-,-,-,0,4,bleA2,-62,bleA4,-71,bleA5,-64,bleA6,-70,A,-177.693,-1104.954,-201.788,G,1750,-7350,-32340,M,-715.5,30,-130.5,,
21:32.3,bleT2,-,-,-,0,2,bleA2,-57,bleA5,-64,A,-91.317,-852.536,232.898,G,9590,-350,32200,M,-732,55.5,-135,,,,,,
21:32.4,bleT2,-,-,-,0,4,bleA4,-76,bleA5,-63,bleA2,-57,bleA3,-82,A,281.21,-880.474,92.415,G,22190,490,-27790,M,-727.5,57,-136.5,,
21:32.6,bleT2,-,-,-,0,5,bleA2,-56,bleA4,-80,bleA3,-66,bleA5,-65,bleA6,-74,A,39.101,-923.357,131.76,G,-9380,-18270,280,M,-730.5,57,-148.5
21:32.7,bleT2,-,-,-,0,4,bleA2,-69,bleA4,-82,bleA5,-66,bleA6,-73,A,32.94,-995.703,45.262,G,18620,-41160,1890,M,-733.5,54,-153,,
21:32.8,bleT2,-,-,-,0,5,bleA3,-61,bleA2,-58,bleA4,-80,bleA5,-66,bleA6,-79,A,-3.965,-1106.784,148.047,G,12880,-51940,-2380,M,-745.5,33,-184.5
